PI_pur;PI_sell
0.08264;0.05038
0.07934;0.04757
0.07663;0.04412
0.07025;0.03826
0.06829;0.03662
0.0681;0.03637
0.06816;0.03642
0.06785;0.03637
0.06636;0.03632
0.06539;0.03632
0.06389;0.03735
0.0631;0.03736
0.06632;0.03737
0.06619;0.03737
0.06547;0.03642
0.06096;0.03528
0.06198;0.03578
0.06512;0.03828
0.0806;0.05171
0.08732;0.05496
0.08979;0.05712
0.08511;0.05358
0.08671;0.05322
0.08382;0.0495
0.07798;0.04645
0.07392;0.04225
0.07143;0.03992
0.07062;0.03888
0.06901;0.03737
0.06897;0.03752
0.07122;0.0394
0.07492;0.04311
0.07787;0.04803
0.08057;0.0514
0.07951;0.05182
0.07849;0.05107
0.07684;0.05038
0.07701;0.05039
0.07716;0.05039
0.07512;0.04824
0.07647;0.05005
0.08122;0.05401
0.08644;0.05847
0.08811;0.06025
0.08784;0.0598
0.08199;0.05483
0.0809;0.05204
0.07651;0.04825
0.07724;0.04593
0.07457;0.04278
0.07111;0.03937
0.06904;0.03724
0.06711;0.03546
0.06687;0.03532
0.06803;0.03597
0.06823;0.03679
0.06866;0.03874
0.07393;0.04426
0.07587;0.04887
0.08014;0.05021
0.07655;0.0479
0.07494;0.0466
0.07187;0.04388
0.06941;0.04121
0.07663;0.0498
0.08305;0.055
0.08743;0.05912
0.08901;0.06091
0.08786;0.05982
0.08706;0.05922
0.08438;0.05523
0.08202;0.05293
0.08311;0.05014
0.08008;0.04689
0.07645;0.04362
0.07422;0.04148
0.07404;0.04145
0.07672;0.04432
0.08839;0.05573
0.09423;0.06167
0.12957;0.06457
0.1326;0.06802
0.22079;0.06573
0.21867;0.0637
0.21791;0.06373
0.2181;0.06374
0.1243;0.0617
0.12536;0.06223
0.12717;0.06368
0.13104;0.06678
0.22719;0.07087
0.22889;0.07242
0.22584;0.06969
0.22147;0.06569
0.12784;0.06216
0.12713;0.06092
0.10019;0.0645
0.09069;0.05607
0.08604;0.0517
0.08522;0.05077
0.08471;0.05043
0.08518;0.05111
0.0916;0.05827
0.10077;0.06819
0.13441;0.07031
0.13942;0.07489
0.22819;0.07335
0.22691;0.07216
0.2251;0.07121
0.22678;0.0724
0.13223;0.06961
0.13093;0.06815
0.1329;0.06962
0.13565;0.07178
0.23714;0.08019
0.2367;0.08005
0.23238;0.07597
0.23232;0.07538
0.14012;0.07267
0.1373;0.07002
0.10425;0.06896
0.10402;0.06749
0.09627;0.06032
0.09077;0.05567
0.09019;0.05509
0.08774;0.05344
0.08787;0.05511
0.10022;0.06743
0.10025;0.06982
0.1037;0.0734
0.10487;0.07582
0.10575;0.07706
0.10469;0.0769
0.10129;0.07366
0.10069;0.07292
0.09869;0.07079
0.10124;0.07276
0.10746;0.07792
0.12288;0.08339
0.12172;0.09019
0.10977;0.07952
0.10516;0.07531
0.10366;0.07201
0.09882;0.06737
0.11635;0.07682
0.10355;0.06574
0.10116;0.06364
0.09612;0.05923
0.09449;0.0579
0.09715;0.06056
0.10321;0.06491
0.12407;0.08394
0.16819;0.09503
0.17803;0.09905
0.26004;0.10005
0.26053;0.10007
0.25936;0.10009
0.25981;0.1001
0.16876;0.1001
0.16928;0.09989
0.16726;0.09782
0.16916;0.10006
0.27287;0.10707
0.27147;0.10908
0.26378;0.10192
0.2663;0.10125
0.1763;0.10003
0.16471;0.08993
0.14043;0.09667
0.11913;0.07786
0.10734;0.06944
0.10198;0.0649
0.09581;0.06002
0.09642;0.06106
0.10901;0.06947
0.12526;0.08689
0.17409;0.1035
0.18346;0.11101
0.27109;0.1104
0.27178;0.11101
0.27038;0.11041
0.27049;0.1104
0.17724;0.10816
0.17019;0.10139
0.16936;0.10047
0.18098;0.11021
0.27669;0.11353
0.27808;0.1151
0.27307;0.11
0.27464;0.10994
0.17253;0.09733
0.14609;0.07437
0.10934;0.06999
0.09932;0.06146
0.09247;0.05578
0.08764;0.0517
0.08615;0.04999
0.08585;0.05002
0.08662;0.05115
0.09299;0.05536
0.09552;0.06013
0.10554;0.07182
0.12832;0.09129
0.1324;0.09492
0.10705;0.07478
0.10893;0.07479
0.10947;0.07637
0.10538;0.07266
0.1088;0.07523
0.13763;0.0988
0.15681;0.11413
0.16232;0.11913
0.16469;0.12077
0.16451;0.12029
0.16141;0.11424
0.14381;0.09999
0.10136;0.06172
0.09557;0.05517
0.09234;0.05185
0.08855;0.0484
0.08872;0.0479
0.08891;0.04841
0.09091;0.05056
0.08972;0.04993
0.08862;0.05095
0.09423;0.05707
0.09649;0.06064
0.09485;0.06129
0.09241;0.06015
0.08773;0.0562
0.08853;0.05678
0.08858;0.05618
0.08908;0.05629
0.09658;0.06242
0.13469;0.09479
0.14894;0.10753
0.15157;0.11002
0.15117;0.10973
0.14328;0.1001
0.10481;0.06745
0.09486;0.05849
0.08906;0.0533
0.08625;0.05091
0.08249;0.04753
0.08078;0.04629
0.08757;0.05239
0.09782;0.06258
0.11354;0.07761
0.1674;0.09578
0.16888;0.09822
0.25613;0.09578
0.24135;0.08314
0.23642;0.07973
0.23786;0.08074
0.14307;0.0775
0.14056;0.07478
0.1505;0.08312
0.16952;0.09736
0.27476;0.10917
0.28686;0.1198
0.28863;0.12094
0.2879;0.11979
0.18236;0.10466
0.15698;0.08506
0.11287;0.07487
0.09793;0.06231
0.09104;0.05636
0.09027;0.05554
0.08962;0.05505
0.08997;0.05588
0.10056;0.06646
0.11891;0.08387
0.16835;0.09824
0.17277;0.10286
0.25995;0.10051
0.25702;0.09796
0.25129;0.09394
0.25164;0.09398
0.15405;0.08849
0.13783;0.07443
0.13886;0.07514
0.15516;0.08795
0.26298;0.10187
0.27358;0.11071
0.27799;0.11384
0.272;0.10781
0.16145;0.08987
0.13703;0.07045
0.11341;0.07463
0.11125;0.07229
0.10269;0.06486
0.1003;0.06283
0.09826;0.06119
0.10174;0.06467
0.11023;0.07374
0.12543;0.08878
0.16663;0.09724
0.16666;0.0987
0.25668;0.0981
0.25587;0.09759
0.25393;0.09683
0.25424;0.09683
0.16368;0.09723
0.16371;0.0969
0.1655;0.09815
0.16844;0.10023
0.26221;0.10185
0.27107;0.10925
0.27604;0.11269
0.26592;0.10358
0.17351;0.10026
0.15469;0.08492
0.13704;0.09482
0.10857;0.07017
0.10507;0.06747
0.09874;0.06197
0.09617;0.05982
0.09596;0.06021
0.10421;0.06747
0.12113;0.08304
0.16457;0.09482
0.16662;0.09795
0.25548;0.09682
0.25296;0.0948
0.24458;0.0885
0.24417;0.08798
0.15374;0.08843
0.14732;0.08257
0.15456;0.08847
0.16372;0.09578
0.26074;0.09997
0.26563;0.10349
0.2712;0.10752
0.26664;0.10271
0.17339;0.09869
0.16952;0.09525
0.10468;0.06858
0.09509;0.05979
0.0898;0.05531
0.08891;0.05443
0.08661;0.05252
0.08796;0.05422
0.09714;0.06271
0.11214;0.07758
0.1577;0.08965
0.16473;0.09753
0.24738;0.09048
0.24304;0.08678
0.23336;0.07906
0.23045;0.07643
0.14022;0.07693
0.14063;0.07677
0.14672;0.08179
0.15437;0.08801
0.25725;0.09777
0.25639;0.09571
0.25949;0.09765
0.25622;0.09396
0.15611;0.08379
0.15095;0.0786
0.10055;0.06394
0.09679;0.05958
0.09143;0.05489
0.08846;0.05197
0.08861;0.05178
0.08849;0.05177
0.08954;0.05331
0.08984;0.05412
0.09593;0.06146
0.09878;0.06614
0.10053;0.06964
0.09909;0.06873
0.09707;0.06778
0.09577;0.06644
0.09695;0.06728
0.09491;0.06518
0.09664;0.0664
0.10054;0.06975
0.11832;0.08334
0.12322;0.08828
0.12961;0.09337
0.1245;0.08863
0.12145;0.08327
0.10516;0.06981
0.10297;0.06585
0.09726;0.05982
0.09261;0.05515
0.09364;0.05488
0.09385;0.05485
0.09374;0.05487
0.09332;0.05483
0.09317;0.05509
0.09138;0.05551
0.09483;0.0595
0.09353;0.06098
0.09393;0.06218
0.09381;0.06321
0.09208;0.06155
0.09213;0.06148
0.08528;0.05501
0.09163;0.06036
0.09907;0.06665
0.10444;0.07174
0.11661;0.0817
0.12221;0.08628
0.1238;0.08755
0.12171;0.08338
0.10671;0.07069
0.12054;0.0811
0.11872;0.07924
0.11031;0.0718
0.10883;0.07029
0.10789;0.06973
0.11258;0.07428
0.11516;0.07753
0.11358;0.08004
0.15107;0.08324
0.15231;0.08538
0.23967;0.08266
0.2335;0.07755
0.23239;0.07741
0.23137;0.07634
0.1363;0.073
0.13548;0.07183
0.14026;0.07563
0.14912;0.08267
0.25262;0.09263
0.27443;0.11079
0.28116;0.11589
0.26095;0.09883
0.15262;0.0831
0.14074;0.07306
0.1231;0.08386
0.10732;0.07061
0.0986;0.06294
0.09466;0.05947
0.09297;0.05819
0.0941;0.05931
0.09547;0.06174
0.10776;0.07421
0.1595;0.09105
0.16124;0.09355
0.24997;0.09162
0.24357;0.08631
0.23985;0.08382
0.23553;0.07982
0.13783;0.07411
0.13422;0.07073
0.13741;0.07318
0.14365;0.07832
0.24231;0.08452
0.25053;0.09102
0.25203;0.09179
0.24455;0.08451
0.13684;0.06889
0.12439;0.05806
0.08184;0.05006
0.07626;0.04462
0.07083;0.04025
0.06871;0.03831
0.05812;0.0294
0.06702;0.03647
0.07496;0.04479
0.08621;0.05594
0.12364;0.06051
0.12671;0.06387
0.2173;0.06365
0.21245;0.05946
0.20663;0.05483
0.20292;0.05142
0.10987;0.04973
0.10462;0.04477
0.10832;0.04785
0.11547;0.05381
0.2117;0.05802
0.21974;0.06447
0.22385;0.06767
0.21866;0.06251
0.11593;0.05094
0.10697;0.04273
0.05833;0.03052
0.04727;0.02089
0.03508;0.01088
0.02736;0.00338
0.0268;0.00287
0.04311;0.01649
0.06615;0.03727
0.07844;0.04915
0.11946;0.05602
0.12097;0.05843
0.20828;0.05552
0.20654;0.05396
